text,label
"Top qualite, livraison en 2 jours. Parfait.",POSITIF
"Je vends des montres de luxe pas cheres, DM moi",SPAM
Visit my store cheapest prices guaranteed spam,SPAM
Fake positive review paid bot excellent product five stars,SPAM
Free gift with purchase visit link in bio,SPAM
"Highly recommend, excellent build quality.",POSITIF
5 stars paid review excellent recommend buy,SPAM
"Faux avis paye, super produit 5 etoiles !!!",SPAM
Work from home earn 500 euros click here,SPAM
Promo exclusive followers reduction speciale code promo spam,SPAM
"Je deconseille, la semelle a decolle apres 3 sorties.",NEGATIF
"Misleading product description, very unhappy.",NEGATIF
Bot review excellent 5 stars best product buy now,SPAM
"Outstanding product, will definitely buy again.",POSITIF
"Amazing quality for the price, very happy.",POSITIF
"Probleme de qualite evident, a eviter absolument.",NEGATIF
Achetez sur notre site et economisez 80 pourcent !!!,SPAM
Avis achete excellent produit cinq etoiles recommande,SPAM
"Poor quality, not worth the money.",NEGATIF
"La qualite laisse a desirer, je ne recommande pas.",NEGATIF
"Ce velo est incroyable, ideal pour la ville.",POSITIF
"Vraiment decevant, le produit ne tient pas ses promesses.",NEGATIF
Super promo exclusive lien en bio achetez maintenant,SPAM
Faux compte automatique meilleur produit cinq etoiles acheter,SPAM
"Tres content de mon achat, belle finition.",POSITIF
"Excellent rapport qualite prix, livraison rapide.",POSITIF
"Not durable at all, completely useless after one week.",NEGATIF
"Absolutely terrible, broke on first use.",NEGATIF
"Tres satisfaisant, livraison rapide et emballage soigne.",POSITIF
PROMO INCROYABLE CLIQUEZ ICI www.promo-fake.com,SPAM
"La qualite est au rendez-vous, je suis ravi.",POSITIF
"Arrived damaged, packaging was terrible.",NEGATIF
"Tres decu, ne correspond pas a la description.",NEGATIF
"The zipper broke after one week, very disappointed.",NEGATIF
"Tres decu par la finition, le plastique est cassant.",NEGATIF
"I am really happy with this purchase, great quality.",POSITIF
"Pas du tout satisfait, retour immediat au magasin.",NEGATIF
"Five stars, absolutely love it.",POSITIF
"Le tissu est de tres mauvaise qualite, il s effiloche rapidement.",NEGATIF
"Very good product, as described and fast shipping.",POSITIF
"Returned immediately, very unsatisfied.",NEGATIF
"Very fragile, broke after 3 uses.",NEGATIF
Quality is unacceptable for this price point.,NEGATIF
"Produit conforme a mes attentes, bon rapport qualite-prix.",POSITIF
"Je regrette cet achat, le produit est inutilisable.",NEGATIF
"Produit non conforme a la description, arnaque.",NEGATIF
"Tres bonne experience d achat, produit impeccable.",POSITIF
"Mauvaise qualite, couture defaite apres 2 semaines.",NEGATIF
Review fake paid excellent cinq etoiles recommande fort,SPAM
Sponsored review five stars excellent product highly recommend spam,SPAM
"Matiere solide et confortable, je recommande sans hesiter.",POSITIF
"Produit solide et bien concu, super pour le trail.",POSITIF
Does not match the description at all.,NEGATIF
Amazing product buy now at discount promo code,SPAM
"Exactly as described, fast delivery.",POSITIF
"Decu de la qualite, je m attendais a mieux.",NEGATIF
Promotional bot account five stars great deal shop now,SPAM
La fermeture eclair a lache des la premiere utilisation.,NEGATIF
"Super chaussures, confortables pour la randonnee.",POSITIF
Offre limitee 24h achetez maintenant avant epuisement du stock,SPAM
"Not as described, completely different from the photos.",NEGATIF
Cheap material that falls apart quickly.,NEGATIF
"Impressed by the durability, worth every euro.",POSITIF
"Tres fragile, pas adapte a un usage intensif.",NEGATIF
"Super comfortable and lightweight, great for hiking.",POSITIF
"Excellent, je l'utilise tous les jours pour la gym.",POSITIF
"Worst purchase ever, do not buy.",NEGATIF
"Great product, very durable and comfortable.",POSITIF
Terrible quality for the price.,NEGATIF
"Je suis fan, je rachetera sans hesiter.",POSITIF
"Good quality materials, well constructed.",POSITIF
"Taille ne correspond pas, retour en cours.",NEGATIF
"Le produit est arrive abime, emballage insuffisant.",NEGATIF
"Parfait pour les longues randonnees, leger et resistant.",POSITIF
"Mal cousue, la bretelle s est cassee rapidement.",NEGATIF
Lien promotionnel dans ma bio pour 70 pourcent de reduction,SPAM
Earn money online click here special discount code promo,SPAM
Discount code available message me for exclusive promo offer,SPAM
Contactez moi pour des reductions exclusives non disponibles ailleurs,SPAM
"Love this product, using it every day.",POSITIF
Visitez mon site pour des offres exclusives !!!!,SPAM
Trop cher pour la qualite proposee.,NEGATIF
Je revends ce produit moins cher contactez moi en prive,SPAM
"Vraiment satisfait de cet achat, parfait pour mes besoins.",POSITIF
"Tres bon produit, je recommande !",POSITIF
Click link bio for exclusive discount not available in store,SPAM
SOLDES EXCLUSIFS sur mon site personnel clickici.fake,SPAM
"Waste of money, would not recommend.",NEGATIF
Special offer only today discount coupon visit website now,SPAM
"Sizes run very small, not as advertised.",NEGATIF
Rejoignez notre programme de parrainage gagnez de l argent,SPAM
CLICK HERE FOR FREE PRODUCTS limited offer!!!,SPAM
MEILLEUR PRIX GARANTI !!! CONTACTEZ MOI,SPAM
Best price guaranteed contact me for deal !!!!!,SPAM
"Superbe produit, je suis bluffe par la qualite.",POSITIF
"Very disappointing quality, expected much better.",NEGATIF
Produit gratuit si vous partagez ce lien avec vos amis maintenant,SPAM
"Returned this immediately, very poor craftsmanship.",NEGATIF
Couture lachee des la premiere semaine d utilisation.,NEGATIF
Produit de qualite professionnelle a prix accessible.,POSITIF
"Excellent achat, ce produit depasse mes esperances.",POSITIF
Remise de 90 pourcent aujourd hui seulement sur tous nos articles,SPAM
Paid promotion excellent product recommend buy now click,SPAM
"Bonne qualite, conforme a la description.",POSITIF
Stitching came undone after first use.,NEGATIF
"Defective product, the handle broke immediately.",NEGATIF
"Tres bonne tente, montage facile et impermeable.",POSITIF
"Mauvaise experience, service client injoignable.",NEGATIF
Buy cheap replica products message me for discount,SPAM
SPAM produit pas cher sur arnaque-shop.ru,SPAM
"Super equipement, rapport qualite prix imbattable.",POSITIF
Limited time offer buy two get three free spam review,SPAM
Best running shoes I have ever bought.,POSITIF
"Parfait pour mes entrainements quotidiens, tres resistant.",POSITIF
"Perfect fit, very comfortable for long runs.",POSITIF
"Top notch quality, arrived quickly and well packaged.",POSITIF
Cheap replica available contact me discount,SPAM
"Parfait pour le sport, je suis tres satisfait.",POSITIF
Je recommande ce produit a tous les sportifs.,POSITIF
Gagnez 500 euros en cliquant sur ce lien maintenant !,SPAM
